Time (s),Pressure (mmHg)
0.0007841587066650391,-0.7
0.047936201095581055,-0.7
0.09739232063293457,-0.61
0.1466834545135498,-0.41
0.19611239433288574,-0.15
0.24547886848449707,0.13
0.29498958587646484,0.43
0.3440670967102051,0.67
0.3933138847351074,0.81
0.44249939918518066,0.93
0.4922618865966797,1.03
0.5412559509277344,1.13
0.5910720825195312,1.22
0.6400585174560547,1.31
0.6894559860229492,1.39
0.7388181686401367,1.47
0.7880575656890869,1.54
0.8375129699707031,1.6
0.886481523513794,1.66
0.9359910488128662,1.72
0.9849944114685059,1.77
1.0343513488769531,1.83
1.0836050510406494,1.87
1.1329870223999023,1.91
1.1825509071350098,1.95
1.2318124771118164,1.99
1.2815189361572266,2.02
1.330810546875,2.05
1.3799049854278564,2.08
1.4290409088134766,2.11
1.4784302711486816,2.14
1.52762770652771,2.16
1.5769627094268799,2.16
1.6265392303466797,2.14
1.6761081218719482,2.13
1.725248098373413,2.12
1.7746610641479492,2.13
1.8240530490875244,2.17
1.8732547760009766,2.23
1.922874927520752,2.3
1.9716479778289795,2.36
2.0209250450134277,2.42
2.0703330039978027,2.48
2.1194443702697754,2.53
2.168848752975464,2.58
2.2182374000549316,2.64
2.267479658126831,2.69
2.3169350624084473,2.74
2.366177797317505,2.78
2.4155867099761963,2.83
2.464812994003296,2.88
2.5142641067504883,2.93
2.563483953475952,2.98
2.6129097938537598,3.05
2.6621460914611816,3.11
2.711608409881592,3.18
2.7608871459960938,3.25
2.8102095127105713,3.32
2.8596858978271484,3.38
2.9087114334106445,3.45
2.958460807800293,3.51
3.00785493850708,3.58
3.05706524848938,3.64
3.10627818107605,3.71
3.155639410018921,3.78
3.205015182495117,3.85
3.254241943359375,3.92
3.303744316101074,3.99
3.35335636138916,4.05
3.401883363723755,4.12
3.451289415359497,4.18
3.5004754066467285,4.25
3.5500080585479736,4.31
3.5992021560668945,4.38
3.6486399173736572,4.45
3.698132038116455,4.52
3.7476000785827637,4.59
3.796783208847046,4.66
3.846404552459717,4.73
3.895779609680176,4.79
3.945103883743286,4.86
3.9944725036621094,4.93
4.043922185897827,5.0
4.093169212341309,5.07
4.142766714096069,5.15
4.191928863525391,5.22
4.241670608520508,5.3
4.290982723236084,5.38
4.339836597442627,5.45
4.388712167739868,5.53
4.438045263290405,5.62
4.487840175628662,5.7
4.5372490882873535,5.78
4.586654424667358,5.86
4.635935544967651,5.94
4.685384750366211,6.03
4.734579563140869,6.11
4.7840821743011475,6.2
4.833270788192749,6.29
4.882770776748657,6.38
4.932077646255493,6.47
4.9813621044158936,6.56
5.030663251876831,6.65
5.080066442489624,6.74
5.12926983833313,6.84
5.178522109985352,6.93
5.22807765007019,7.03
5.277065753936768,7.12
5.326485872268677,7.22
5.375731945037842,7.31
5.425235271453857,7.41
5.4744133949279785,7.51
5.523872137069702,7.61
